Date,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
01/05/2012,13.77,12.838,12.678,12.690999999999999,13.913,12.716000000000001,12.662,24.77,12.682,12.697999999999999,13.158,15.16,12.626,12.754000000000001,12.672,12.699000000000002,12.72,12.749,13.265,12.745000000000001,14.828,12.81,12.643999999999998,12.655,14.096,12.722,12.747,12.928999999999998,12.829,12.800999999999998,13.154,12.68,13.885000000000002,12.783999999999999,12.934999999999999,12.780999999999999,12.677,12.68,12.703000000000001,12.714,12.682,17.025,12.66,12.657,12.689
02/05/2012,13.795,10.904,12.656,10.71,14.865,11.029,10.669,33.493,10.691,12.96,11.375,14.670000000000002,10.605,10.837,10.645,10.858,10.739,10.806000000000001,11.538,10.783999999999999,14.389,11.927,10.661,10.597,14.141,10.841,10.789,11.964,10.914,10.904,11.418,10.788,28.384,11.818,11.152,10.915000000000001,10.719999999999999,10.705,10.848,10.773,10.7,17.48,10.666,10.969999999999999,10.687
03/05/2012,13.187999999999999,9.25,12.440000000000001,10.125,14.908,18.493,9.152000000000001,31.045,8.998999999999999,15.403,9.849,13.64,8.94,9.206999999999999,9.685,9.248000000000001,9.918,9.151,9.959,9.178,13.254999999999999,11.097000000000001,9.047,8.88,15.629,9.245999999999999,9.092,10.845,13.721,9.233,9.94,9.216000000000001,31.880000000000003,21.252,9.585,9.339,10.739,9.113,11.302,9.034,9.039000000000001,15.44,8.976,9.461,9.139
04/05/2012,11.974,7.837999999999999,11.416,19.569,13.530000000000001,28.834,10.222,25.130000000000003,7.659000000000001,18.66,8.538,12.216999999999999,7.586,7.833,8.795,7.8629999999999995,8.788,7.7829999999999995,8.547,9.08,11.724,9.811,7.725,7.51,16.422,7.880000000000001,7.7540000000000004,9.507,19.628999999999998,7.856999999999999,9.765,8.127,21.802999999999997,29.469,8.271,8.076,10.121,7.763999999999999,11.392,7.631,7.645999999999999,13.917000000000002,7.703,8.091,7.817
05/05/2012,10.528,6.720000000000001,10.086,54.428,12.049,32.475,10.554,20.276,6.583,20.056,8.054,10.71,6.528,6.73,7.747,6.759,9.190999999999999,6.804,7.35,15.852,10.206,8.474,6.643000000000001,6.4399999999999995,16.644,6.777,6.672,8.26,22.344,6.747,9.089,7.132,17.811999999999998,26.823999999999998,7.606999999999999,6.993,9.012,6.656,10.593,7.162000000000001,6.6,12.163,6.711,6.9510000000000005,6.731
06/05/2012,9.214,5.862,8.889,65.98400000000001,10.453,29.856,10.017,17.451999999999998,5.721,18.476,7.901,9.336,5.666,8.486,6.727,5.880000000000001,13.231,17.198,6.3420000000000005,26.05,8.902000000000001,7.317,7.405,5.554,16.092,6.683,11.314,7.1899999999999995,20.921,5.848,8.124,8.167,14.822,22.851,7.178,6.094,8.995000000000001,6.349,9.325,12.001999999999999,62.444,10.458,5.887,6.016,6.505
07/05/2012,9.186,5.109999999999999,7.778,33.67,8.914,27.074,9.047,26.97,5.252000000000001,16.124,7.640000000000001,8.006,5.013,19.949,5.8580000000000005,5.16,14.809,25.34,5.507,29.58,7.719,6.331,9.556000000000001,4.919,15.77,6.911,70.896,6.265,17.964,5.151,7.28,98.09,13.221,19.036,6.641,5.591,25.482999999999997,125.289,8.082,14.089,92.716,8.863,5.333,5.231,6.034000000000001
08/05/2012,9.177,5.183,6.726000000000001,25.088,7.609,23.338,12.727,33.528999999999996,15.594,15.192,6.936,6.879,4.693,28.518,5.165,4.756,12.947,22.576999999999998,4.853,26.201,6.643,5.518,10.061,4.826,15.347999999999999,6.757,106.791,5.481,15.39,4.75,7.101,143.473,12.152999999999999,16.212,5.971,5.13,58.324,193.95,7.058,13.382,33.903999999999996,7.515,4.917,4.771,5.352
09/05/2012,8.776,5.199,5.774,20.22,6.574,19.558,16.56,29.506999999999998,23.011000000000003,14.178,6.109,5.947,4.4559999999999995,25.245,4.673,12.280000000000001,12.04,18.54,4.611000000000001,21.665999999999997,6.257,4.8709999999999996,9.764,4.639,14.363,6.192,40.051,5.055,13.201,4.509,6.49,61.867,10.822,14.025,5.465,5.054,61.205000000000005,44.354,13.303,12.332999999999998,23.421,7.307,4.617,4.525,4.868
10/05/2012,12.298,4.963,5.057,18.596,9.092,17.067999999999998,16.371000000000002,23.766,20.363,12.522,5.385,5.175,4.225,20.211,4.442,51.739999999999995,10.751,15.45,4.376,18.145,6.592,4.548,8.761,6.279,16.319,5.486,28.27,4.6,11.793,5.01,5.747,36.263999999999996,9.632,11.927999999999999,7.055,4.702,28.514999999999997,25.695999999999998,18.228,11.2,19.834,6.821999999999999,4.344,4.291,4.528
