Date,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
01/05/2011,309.33,307.144,306.86,306.813,310.256,306.933,306.719,370.4,306.775,306.783,307.99199999999996,325.346,306.54200000000003,307.026,306.74,306.83799999999997,306.95799999999997,307.078,308.266,307.028,320.721,307.181,306.737,306.663,311.164,306.951,307.096,307.479,307.272,307.238,308.057,306.769,309.65500000000003,307.052,307.593,307.189,306.896,306.767,306.859,306.96,306.769,339.988,306.682,306.666,306.81
02/05/2011,68.013,60.333999999999996,64.88,59.961999999999996,78.151,61.226,59.835,160.709,59.89,65.158,62.61,93.224,59.366,60.517,59.679,60.697,60.251000000000005,60.596000000000004,63.04900000000001,60.461,86.024,63.32000000000001,59.849,59.431,71.169,60.507,60.525999999999996,63.724,60.839,60.982,62.744,60.202999999999996,109.839,62.92700000000001,61.754000000000005,61.125,60.18300000000001,59.926,60.577,60.317,59.896,116.80199999999999,59.731,60.934000000000005,59.879
03/05/2011,42.861000000000004,31.48,41.685,34.403000000000006,58.341,63.403000000000006,32.242000000000004,60.633,31.205,49.989999999999995,34.739999999999995,41.494,30.791,32.107,33.208999999999996,32.691,34.109,32.087999999999994,34.757000000000005,32.21,41.385,38.331,31.525999999999996,30.473,47.149,32.316,31.737000000000002,37.811,43.769999999999996,32.428,34.742000000000004,32.058,96.72,86.227,33.527,33.035,35.847,31.554,37.548,31.336,31.340000000000003,43.408,31.1,33.496,31.585
04/05/2011,35.324,24.711000000000002,35.123,60.388,37.657,99.504,31.468000000000004,39.963,24.631999999999998,52.504,27.931,31.852,24.363,25.41,29.021,25.750999999999998,29.197000000000003,25.357,27.553,28.668,31.933,31.79,25.158,23.896,44.072,25.641000000000002,25.028,30.939,55.501,25.563000000000002,30.512999999999998,26.21,44.783,118.97,26.668,26.435000000000002,32.696,25.027,36.062,24.393,24.673000000000002,31.628,24.756,26.450000000000003,25.201
05/05/2011,28.302,20.357,27.842999999999996,117.628,29.121000000000002,87.395,31.073,31.192,20.351,43.289,24.238,25.58,20.127000000000002,20.841,23.762,20.996,26.314,21.347,22.272,40.099000000000004,25.559,25.466,20.651,19.778,39.875,21.012999999999998,20.673000000000002,24.873,48.138999999999996,20.926,27.247,21.981,32.650999999999996,46.81999999999999,22.747,21.739,26.346,20.53,30.113,21.256,20.417,25.080000000000002,20.863,21.412,20.727
06/05/2011,23.378,17.215,22.525,109.21900000000001,23.62,43.308,26.178,25.202,17.1,37.433,22.271,21.528999999999996,16.859,22.16,19.709,17.739,31.298000000000002,44.577999999999996,18.896,65.27,21.48,20.990000000000002,19.854,16.39,34.95,19.115,25.478,20.781,39.281000000000006,17.625,22.573,22.054,25.974,33.650999999999996,20.718,18.634,23.266,18.436,23.857999999999997,26.402,94.584,20.977,17.749000000000002,18.075,18.743000000000002
07/05/2011,21.416,14.306999999999999,19.194,44.226,19.972,35.238,21.567,33.812,14.491999999999999,30.994999999999997,19.69,18.409,13.969,42.421,16.72,14.754000000000001,32.426,62.864000000000004,15.773,67.172,18.393,17.809,21.991999999999997,13.494,31.323,17.794,101.042,17.82,32.518,14.649999999999999,19.538,130.5,22.294999999999998,26.871,17.904,16.431,57.172,154.163,19.759999999999998,29.166,133.35500000000002,17.666,15.100999999999999,14.965,16.322
08/05/2011,19.916,12.488,16.211,31.554000000000002,16.803,29.775,24.493,40.244,27.03,26.128,17.187,15.466000000000001,11.527,54.605000000000004,14.017000000000001,12.280000000000001,26.796,35.161,13.035,38.647,15.609,14.844999999999999,21.391,11.617,28.512999999999998,16.364,142.11,15.350000000000001,26.019000000000002,12.151,17.919,185.974,19.995,22.139,15.009,14.419,103.42200000000001,230.855,17.002,25.751,44.174,14.639999999999999,12.786,12.353000000000002,13.784
09/05/2011,18.231,10.986,13.526,25.302,13.996,24.474,28.912,35.159,34.015,22.926,14.817,12.86,9.539,35.673,11.743,19.067999999999998,22.056,27.045,10.787,30.003999999999998,13.742999999999999,12.289000000000001,18.054000000000002,10.028,24.206,14.416,49.18,13.219,21.363,10.079,15.959999999999999,74.38900000000001,17.653,18.822,12.741,12.965,74.833,53.542,23.017,22.264000000000003,30.006999999999998,13.187999999999999,10.79,10.168,11.625
10/05/2011,21.927999999999997,9.562999999999999,11.274,22.535999999999998,15.404,20.758,27.277,28.37,27.651000000000003,19.812,12.790000000000001,10.652000000000001,7.975,28.012999999999998,9.774000000000001,64.924,18.903,21.913999999999998,8.965,24.458,12.824,10.478,15.991,10.876,24.221,12.338999999999999,34.09,11.129999999999999,18.82,9.584,13.806999999999999,42.014,15.578,15.875,13.734,11.234000000000002,35.39,31.602,28.059,18.829,25.485999999999997,11.597999999999999,9.124,8.467,9.814
11/05/2011,23.674999999999997,8.216000000000001,9.437000000000001,20.777,17.256,17.749000000000002,23.212,22.843,21.954,17.654,11.906,8.883,6.721,22.555999999999997,8.434,75.71000000000001,16.381,18.54,7.518000000000001,20.753,11.687999999999999,9.745000000000001,14.040999999999999,15.249,24.908,10.507,27.28,9.523,17.043,8.725999999999999,12.096,35.449,17.131,13.291,13.899000000000001,9.555,27.227999999999998,25.343,25.329,17.85,22.487000000000002,10.014,7.727,9.359,8.869
12/05/2011,20.424,7.011000000000001,8.384,18.191,16.654,14.972000000000001,19.077,19.325,18.323999999999998,15.356,10.577,7.498,5.710999999999999,19.012999999999998,10.664,37.995000000000005,23.791,15.834,12.193999999999999,41.211999999999996,10.237,8.615,11.891000000000002,18.93,22.488,8.893,25.122,17.843,14.966000000000001,7.58,10.443,50.813,21.862,11.1,12.347999999999999,8.039,22.603,21.061999999999998,27.281,17.376,19.455,11.168,6.593,11.471,7.952
13/05/2011,17.302,5.932,7.288,15.542,14.268,13.401,16.804000000000002,16.568,20.043,18.455,9.231,6.489,4.946,16.796,11.475000000000001,28.241,99.562,13.511,23.667,154.603,11.193999999999999,7.508,9.966000000000001,21.742,24.678,7.553,26.003999999999998,139.728,12.867,7.282,9.007,197.52499999999998,23.008,9.342,10.666,6.796,19.373,17.966,29.981,16.255000000000003,17.225,10.850999999999999,6.77,10.862,7.029
14/05/2011,15.302,5.038,6.257999999999999,13.387,12.55,11.793,15.332,14.023,44.946,19.893,7.975,13.144,4.326,14.702,14.020999999999999,22.637,116.41300000000001,11.463,29.856,185.78,11.791,6.504,8.61,23.977,28.032,6.670999999999999,24.249000000000002,196.033,16.862000000000002,7.891,7.782,251.321,19.649,8.004999999999999,9.467,5.827,16.739,15.087,26.087,14.666,14.870000000000001,10.547,6.502000000000001,9.108,6.093
15/05/2011,13.745000000000001,4.479,5.38,11.605,10.71,10.27,13.711,11.969999999999999,46.861000000000004,17.607,6.954000000000001,16.907,4.091,13.868,14.409,19.028,41.111999999999995,9.773,25.366,50.865,12.359,5.661,7.425,22.363,26.121000000000002,6.4399999999999995,20.474,47.577,25.764,8.831,6.667,63.693,16.916999999999998,7.01,8.933,5.122,14.690999999999999,12.605,21.796,12.848,12.589,9.698,5.976,8.106,5.274
16/05/2011,12.088000000000001,4.16,4.684,10.067,9.057,8.973,12.088999999999999,11.462,26.067,15.838000000000001,6.359,15.006,3.861,18.642,12.453,19.044,27.639,8.315999999999999,20.313,32.235,12.122,4.997,6.418,18.69,21.639000000000003,6.253,18.061999999999998,29.264000000000003,29.305999999999997,8.716,5.739,39.993,22.211000000000002,6.162,8.942,4.497,15.790000000000001,10.567,18.853,10.98,10.592,21.769,5.32,18.125999999999998,4.59
17/05/2011,10.501000000000001,3.933,4.8629999999999995,9.078,7.6739999999999995,7.789,10.424,10.863,20.098,14.236,5.782,12.568000000000001,3.6399999999999997,20.893,10.959,19.38,22.073,7.119,16.86,25.906999999999996,11.165000000000001,4.4990000000000006,5.564,15.676000000000002,19.938000000000002,5.761,16.012,30.663999999999998,24.907,7.877000000000001,5.001,31.971,25.674,5.45,8.532,4.1739999999999995,15.712,8.971,16.866,11.364,8.968,33.918,4.719,31.595,4.2379999999999995
18/05/2011,9.05,3.711,6.522,9.046,6.591,6.851,9.206999999999999,10.114,18.852,13.639999999999999,5.71,10.550999999999998,4.975,18.29,9.442,17.923,18.95,6.172,14.838000000000001,24.728,11.899,4.156000000000001,4.87,13.477,20.592,5.311,13.909,30.833,20.142,6.773,4.478,26.058,22.172,11.472000000000001,8.023,3.955,16.028,7.739000000000001,15.050999999999998,16.881,7.708,37.079,19.083,33.225,30.076
19/05/2011,7.731,3.496,6.831,8.428,6.109,6.0,9.902,9.009,62.277,14.578,5.452,8.999,6.265000000000001,16.073999999999998,8.137,15.915,21.167,5.494,12.85,25.82,15.461,3.9530000000000003,4.365,11.385,20.655,4.829,11.956,25.28,17.000999999999998,6.085000000000001,4.258,24.564,18.507,17.987000000000002,12.012,3.739,15.9,6.744,12.920000000000002,19.072,7.737,36.199,30.528,26.244,42.962
20/05/2011,6.585,3.346,6.273,7.571,5.876,5.2989999999999995,10.015,7.877000000000001,143.039,14.365,5.138,7.632,6.307,14.156,6.975,14.003,21.53,4.928,10.857,26.755,17.535,3.746,4.132,9.609,18.848,4.343,10.212,20.466,14.847000000000001,9.691,5.0120000000000005,22.908,16.286,18.061,16.952,3.529,14.73,5.977,12.454,16.287,7.308999999999999,30.732999999999997,28.291000000000004,20.595,26.218
21/05/2011,5.695,3.122,5.449999999999999,6.666,5.3260000000000005,4.952,9.418,6.824999999999999,133.908,13.112,4.718,6.572,5.67,12.202,5.890000000000001,12.131,18.817,4.633,9.105,24.832,15.582,3.542,3.915,8.042,16.8,3.936,8.721,18.764,12.776,11.182,5.827,21.063000000000002,14.163,14.674,16.998,3.323,13.187000000000001,5.372,13.924,13.517,6.618,24.743000000000002,23.506999999999998,27.671999999999997,19.308
22/05/2011,5.121,2.917,4.582,5.769,4.706,4.693,8.354000000000001,6.073,43.866,11.635000000000002,4.293,5.622999999999999,4.781,10.413,4.9830000000000005,10.403,15.600999999999999,4.4239999999999995,7.597,20.864,13.764000000000001,7.271000000000001,5.677,6.791,14.778,3.597,7.652,18.307000000000002,10.871,10.442,5.637,18.873,12.085,12.505,14.756,3.139,11.407,4.943,13.682,11.441,11.006,19.857,18.903,33.894000000000005,16.459
23/05/2011,4.772,2.743,3.971,5.229,4.195,4.471,7.211,5.368,29.829,9.985,3.91,4.801,3.856,8.866,4.26,8.897,13.109,4.221,6.396000000000001,18.291,12.159,12.024999999999999,6.275,5.754,13.408999999999999,3.3449999999999998,7.6690000000000005,16.863,9.235,9.587,5.032,19.524,10.273,11.544,13.058,2.972,9.721,4.697,11.647,10.003,13.168,16.83,15.741,29.95,28.276000000000003
24/05/2011,4.474,2.819,3.6390000000000002,4.925,4.0009999999999994,6.4830000000000005,6.167,4.9030000000000005,23.818,8.481,3.58,4.338,3.2489999999999997,8.901,4.689,7.646,11.343,4.006,5.438,15.947,10.372,12.962,5.8629999999999995,5.294,12.144,4.2909999999999995,7.982,14.801,9.286,8.291,4.379,36.545,8.85,17.867,11.120000000000001,2.7960000000000003,8.222000000000001,4.469,9.998999999999999,8.718,11.927,22.48,13.567,25.095999999999997,39.948
25/05/2011,4.256,10.68,3.73,4.63,6.179,6.821999999999999,6.041,4.648,21.729,7.273,3.3360000000000003,4.023,2.9139999999999997,11.823,44.033,6.547000000000001,10.087,3.792,4.73,13.716999999999999,8.714,37.172,5.148,5.496,10.924,13.955,8.012,13.721,14.887,7.189,3.773,38.813,7.585,21.881,9.291,2.6159999999999997,6.996,6.803,8.711,7.529999999999999,11.07,26.839000000000002,11.495999999999999,20.307000000000002,40.341
